"110年03月30日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1417","嘉裕","2.53","109","-","0.88","109/4",
"1418","東華","0.00","108","-","0.86","109/3",
"1419","新紡","2.46","108","37.34","1.46","109/3",
"1423","利華","8.00","109","8.79","1.04","109/4",
"1432","大魯閣","26.23","108","-","1.43","109/4",
"1434","福懋","3.25","109","24.64","0.84","109/4",
"1435","中福","0.00","108","-","3.45","109/3",
"1436","華友聯","5.04","109","21.12","1.40","109/4",
"1437","勤益控","2.91","109","13.66","0.76","109/4",
"1438","三地開發","0.00","108","61.11","5.03","109/4",
"1439","中和","19.57","108","58.07","1.02","109/3",
"1440","南紡","1.83","109","33.60","1.26","109/4",
"1441","大東","0.00","108","-","1.00","109/4",
"1442","名軒","2.78","109","85.71","1.20","109/4",
"1443","立益","0.00","108","-","1.28","109/4",
"1444","力麗","0.00","108","-","1.13","109/3",
"1445","大宇","1.53","109","-","1.07","109/4",
"1446","宏和","1.03","109","-","2.61","109/4",
"1447","力鵬","0.00","108","-","0.86","109/3",
"1449","佳和","0.00","108","-","1.86","109/3",
"1451","年興","3.43","109","-","0.48","109/4",
"1452","宏益","3.86","109","24.86","0.96","109/4",
"1453","大將","2.37","108","-","0.66","109/3",
"1454","台富","2.27","109","-","0.70","109/4",
"1455","集盛","2.52","109","-","0.97","109/4",
"1456","怡華","0.00","108","24.59","1.31","109/4",
"1457","宜進","8.62","109","6.02","0.84","109/4",
"1459","聯發","0.00","108","-","1.03","109/4",
"1460","宏遠","0.00","108","-","1.05","109/4",
"1463","強盛","2.34","109","38.79","0.98","109/4",
"1464","得力","8.55","108","-","1.43","109/4",
"1465","偉全","2.30","109","-","0.79","109/4",
"1466","聚隆","0.00","108","43.68","1.17","109/4",
"1467","南緯","0.00","108","-","1.51","109/3",
"1468","昶和","0.00","108","54.81","1.86","109/4",
"1470","大統新創","2.33","109","43.90","1.60","109/4",
"1471","首利","0.00","108","2.71","1.03","109/4",
"1472","三洋紡","0.00","108","-","2.47","109/3",
"1473","台南","1.09","109","-","0.82","109/4",
"1474","弘裕","3.13","109","15.42","0.84","109/4",
"1475","業旺","0.00","108","557.14","6.24","109/4",
"1476","儒鴻","2.28","109","31.14","6.91","109/4",
"1477","聚陽","3.24","109","26.42","5.38","109/4",
"1503","士電","3.27","109","15.19","1.03","109/3",
"1504","東元","3.45","109","18.43","1.05","109/4",
"1506","正道","0.00","108","-","1.79","109/3",
"1507","永大","3.65","108","20.76","2.14","109/3",
"1512","瑞利","0.00","108","-","6.35","109/4",
"1513","中興電","2.24","108","26.35","2.41","109/3",
"1514","亞力","4.61","108","17.25","1.72","109/4",
"1515","力山","3.78","109","21.11","4.62","109/4",
"1516","川飛","3.01","109","30.06","2.11","109/4",
"1517","利奇","1.79","109","25.72","1.34","109/4",
"1519","華城","2.87","109","25.89","3.33","109/4",
"1521","大億","2.45","109","25.24","2.30","109/4",
"1522","堤維西","2.53","109","28.21","1.15","109/4",
"1524","耿鼎","1.78","109","53.64","0.89","109/4",
"1525","江申","2.61","109","19.09","1.43","109/4",
"1526","日馳","3.68","109","16.46","2.59","109/4",
"1527","鑽全","2.57","108","15.88","1.57","109/4",
"1528","恩德","1.00","109","-","0.92","109/4",
"1529","樂士","3.03","109","25.38","1.47","109/4",
"1530","亞崴","6.92","109","9.22","1.12","109/4",
"1531","高林股","1.27","109","-","0.82","109/4",
"1532","勤美","2.91","108","50.24","1.05","109/3",
"1533","車王電","0.73","108","79.65","2.75","109/4",
"1535","中宇","3.35","109","25.16","1.68","109/4",
"1536","和大","0.96","109","102.68","4.61","109/4",
"1537","廣隆","6.71","109","13.91","3.06","109/4",
"1538","正峰","0.00","108","-","1.29","109/4",
"1539","巨庭","3.86","108","-","1.08","109/4",
"1540","喬福","3.14","109","-","1.02","109/4",
"1541","錩泰","5.37","109","11.50","2.76","109/3",
"1558","伸興","5.65","109","12.21","2.04","109/4",
"1560","中砂","3.96","108","19.48","2.25","109/4",
"1568","倉佑","0.97","109","309.50","2.13","109/4",
"1582","信錦","5.70","109","11.23","1.84","109/4",
"1583","程泰","4.75","109","14.37","1.43","109/4",
"1587","吉茂","6.78","109","11.09","1.49","109/4",
"1589","永冠-KY","1.89","109","17.13","1.02","109/4",
"1590","亞德客-KY","0.91","109","39.21","8.45","109/4",
"1592","英瑞-KY","0.00","108","-","0.18","109/3",
"1597","直得","1.20","109","49.40","4.76","109/4",
"1598","岱宇","0.87","108","12.12","3.55","109/4",
"1603","華電","1.87","109","13.05","0.79","109/4",
"1604","聲寶","8.21","109","6.28","1.45","109/4",
"1605","華新","4.72","109","9.20","0.73","109/4",
"1608","華榮","5.11","109","18.03","0.85","109/4",
"1609","大亞","1.52","108","13.62","1.49","109/4",
"1611","中電","2.31","109","5.20","1.01","109/3",
"1612","宏泰","5.13","109","14.27","1.40","109/4",
"1614","三洋電","2.60","109","26.84","1.78","109/4",
"1615","大山","6.50","108","11.52","1.86","109/4",
"1616","億泰","0.00","108","609.00","0.77","109/4",
"1617","榮星","3.93","109","14.95","1.24","109/4",
"1618","合機","2.01","108","14.95","0.78","109/4",
"1626","艾美特-KY","3.69","109","24.20","1.20","109/4",
"1701","中化","4.33","109","12.29","1.04","109/4",
"1702","南僑","4.25","109","12.30","1.77","109/4",
"1707","葡萄王","3.52","109","19.51","3.74","109/4",
"1708","東鹼","7.52","109","31.51","0.94","109/4",
"1709","和益","7.16","109","14.44","1.11","109/4",
"1710","東聯","1.54","108","-","1.40","109/4",
"1711","永光","1.79","109","43.08","1.14","109/4",
"1712","興農","5.60","109","13.65","1.38","109/4",
"1713","國化","3.20","109","33.77","1.33","109/4",
"1714","和桐","0.00","108","5.98","0.82","109/4",
"1717","長興","4.17","109","17.54","1.95","109/4",
"1718","中纖","5.07","109","7.70","0.53","109/3",
"1720","生達","3.82","108","13.40","1.77","109/4",
"1721","三晃","4.63","109","3.80","0.80","109/4",
"1722","台肥","4.09","109","22.52","1.08","109/4",
"1723","中碳","2.59","109","34.95","3.84","109/4",
"1724","台硝","1.87","109","67.00","0.88","109/4",
"1725","元禎","4.44","109","15.77","1.14","109/4",
"1726","永記","4.85","109","14.05","1.33","109/4",
"1727","中華化","1.70","108","-","1.00","109/4",
"1730","花仙子","5.40","109","13.00","2.60","109/4",
"1731","美吾華","5.35","109","14.50","1.33","109/4",
"1732","毛寶","1.98","109","27.69","2.18","109/4",
"1733","五鼎","4.60","109","25.16","1.44","109/4",
"1734","杏輝","0.63","109","-","1.93","109/4",
"1735","日勝化","2.99","109","22.57","1.12","109/4",
"1736","喬山","1.61","108","38.62","2.81","109/4",
"1737","臺鹽","3.94","109","18.74","1.10","109/4",
"1760","寶齡富錦","0.85","109","228.61","5.09","109/4",
"1762","中化生","2.56","109","9.65","1.89","109/3",
"1773","勝一","4.02","109","17.56","3.57","109/4",
"1776","展宇","5.93","109","30.64","1.24","109/3",
"1783","和康生","2.61","109","34.07","2.50","109/4",
"1786","科妍","3.04","109","28.38","2.59","109/4",
"1789","神隆","1.92","109","72.36","1.96","109/4",
"1795","美時","0.00","108","18.30","2.15","109/4",
"1802","台玻","2.53","109","23.29","1.31","109/4",
"1805","寶徠","0.00","108","-","2.63","109/4",
"1806","冠軍","0.00","108","-","0.66","109/3",
"1808","潤隆","0.69","109","181.88","4.25","109/4",
"1809","中釉","1.59","109","-","0.73","109/4",
"1810","和成","0.00","108","43.33","0.65","109/4",
"1817","凱撒衛","5.63","109","11.64","1.50","109/4",
"1903","士紙","0.00","108","-","4.47","109/4",
"1904","正隆","5.14","109","10.42","1.53","109/4",
"1905","華紙","0.00","108","-","0.99","109/3",
"1906","寶隆","2.20","109","29.35","0.43","109/4",
"1907","永豐餘","4.80","109","9.95","1.15","109/4",
"1909","榮成","2.40","109","33.85","1.26","109/4",
"2002","中鋼","1.16","109","430.00","1.36","109/4",
"2006","東和鋼鐵","3.33","109","13.42","1.74","109/4",
"2007","燁興","0.00","108","-","0.62","109/4",
"2008","高興昌","0.00","108","-","1.16","109/4",
"2009","第一銅","2.58","109","140.68","2.45","109/4",
"2010","春源","4.18","109","18.16","0.89","109/4",
"2012","春雨","3.00","109","26.67","1.52","109/4",
"2013","中鋼構","6.67","109","12.87","1.69","109/4",
"2014","中鴻","1.64","109","49.46","1.72","109/4",
"2015","豐興","4.93","109","15.78","2.12","109/4",
"2017","官田鋼","1.62","109","308.75","1.03","109/4",
"2020","美亞","8.49","108","12.39","1.55","109/4",
"2022","聚亨","0.00","108","-","0.80","109/4",
"2023","燁輝","0.00","108","33.97","0.95","109/4",
"2024","志聯","1.43","109","62.50","1.50","109/4",
"2025","千興","0.00","108","-","1.67","109/4",
"2027","大成鋼","2.57","109","-","1.73","109/4",
"2028","威致","0.00","108","13.19","2.64","109/4",
"2029","盛餘","2.03","109","31.95","0.89","109/4",
"2030","彰源","3.75","109","34.23","0.96","109/4",
"2031","新光鋼","5.04","109","14.76","1.60","109/4",
"2032","新鋼","3.79","109","24.14","1.07","109/4",
"2033","佳大","2.21","109","54.40","1.05","109/4",
"2034","允強","5.56","109","27.84","1.30","109/4",
"2038","海光","2.75","109","20.92","1.08","109/4",
"2049","上銀","0.57","109","69.81","4.89","109/4",
"2059","川湖","1.86","109","26.88","2.81","109/4",
"2062","橋椿","0.33","109","-","0.97","109/4",
"2069","運錩","2.95","108","65.19","0.80","109/4",
"2101","南港","2.31","109","39.24","3.06","109/4",
"2102","泰豐","0.10","109","-","1.27","109/3",
"2103","台橡","1.28","109","-","1.65","109/4",
"2104","國際中橡","0.38","109","35.00","0.85","109/4",
"2105","正新","2.53","109","25.68","1.91","109/4",
"2106","建大","2.30","109","40.56","2.07","109/4",
"2107","厚生","6.05","109","9.43","0.76","109/4",
"2108","南帝","4.00","109","13.87","4.53","109/4",
"2109","華豐","0.00","108","16.34","2.02","109/4",
"2114","鑫永銓","4.69","109","17.32","3.59","109/4",
"2115","六暉-KY","5.10","109","7.45","1.63","109/4",
"2201","裕隆","2.31","109","-","0.91","109/3",
"2204","中華","10.49","109","11.27","0.88","109/4",
"2206","三陽工業","3.18","108","15.34","1.75","109/3",
"2207","和泰車","2.90","109","23.15","4.90","109/4",
"2208","台船","0.00","108","-","2.10","109/4",
"2227","裕日車","7.57","108","12.89","3.89","109/4",
"2228","劍麟","1.34","109","60.00","1.62","109/4",
"2231","為升","0.50","109","118.41","9.49","109/4",
"2233","宇隆","3.50","108","15.14","2.03","109/4",
"2236","百達-KY","2.08","108","2,020.00","0.79","109/3",
"2239","英利-KY","1.84","109","24.69","1.07","109/4",
"2241","艾姆勒","0.98","109","765.00","3.18","109/4",
"2243","宏旭-KY","0.00","108","-","0.67","109/3",
"2247","汎德永業","4.48","109","18.50","1.74","109/4",
"2301","光寶科","5.31","109","14.85","2.02","109/4",
"2302","麗正","0.00","108","428.00","2.17","109/3",
"2303","聯電","3.16","109","21.53","2.66","109/4",
"2305","全友","0.00","108","116.75","0.87","109/4",
"2308","台達電","1.88","109","29.82","5.21","109/4",
"2312","金寶","2.31","108","67.00","1.23","109/3",
"2313","華通","3.48","109","11.04","1.76","109/4",
"2314","台揚","0.00","108","-","3.24","109/4",
"2316","楠梓電","4.77","109","13.79","0.78","109/4",
"2317","鴻海","3.24","108","17.34","1.48","109/3",
"2321","東訊","0.00","108","-","2.56","109/3",
"2323","中環","6.76","109","-","0.65","109/3",
"2324","仁寶","5.93","109","17.31","1.14","109/3",
"2327","國巨","2.32","108","21.43","4.00","109/4",
"2328","廣宇","1.43","109","35.55","2.11","109/4",
"2329","華泰","0.89","108","-","1.63","109/4",
"2330","台積電","1.68","109","29.89","8.37","109/4",
"2331","精英","0.31","109","84.21","1.62","109/3",
"2332","友訊","1.23","109","12.87","1.72","109/4",
"2337","旺宏","2.69","109","15.56","2.29","109/4",
"2338","光罩","2.12","109","21.20","4.10","109/4",
"2340","光磊","4.97","109","18.27","1.36","109/4",
"2342","茂矽","0.00","108","-","3.09","109/3",
"2344","華邦電","0.68","109","89.70","1.80","109/4",
"2345","智邦","2.33","109","30.74","10.72","109/4",
"2347","聯強","5.98","109","11.29","1.69","109/4",
"2348","海悅","7.69","109","9.43","3.84","109/3",
"2349","錸德","0.00","108","-","1.17","109/3",
"2351","順德","2.22","109","42.14","2.59","109/4",
"2352","佳世達","2.23","108","13.27","1.84","109/4",
"2353","宏碁","4.75","109","15.72","1.57","109/4",
"2354","鴻準","3.34","108","19.48","1.05","109/3",
"2355","敬鵬","1.53","109","271.67","0.85","109/4",
"2356","英業達","4.73","108","12.33","1.71","109/3",
"2357","華碩","6.90","109","10.54","1.39","109/4",
"2358","廷鑫","1.41","108","129.09","1.08","109/4",
"2359","所羅門","2.79","109","149.17","0.69","109/4",
"2360","致茂","2.35","109","34.57","5.00","109/4",
"2362","藍天","1.94","109","27.54","0.46","109/4",
"2363","矽統","8.58","109","-","0.67","109/4",
"2364","倫飛","0.00","108","32.36","2.58","109/4",
"2365","昆盈","2.51","109","18.38","0.90","109/4",
"2367","燿華","3.58","108","-","1.39","109/3",
"2368","金像電","2.72","109","14.45","3.22","109/4",
"2369","菱生","0.00","108","-","1.22","109/4",
"2371","大同","0.00","108","34.13","1.78","109/3",
"2373","震旦行","6.42","109","15.24","3.01","109/3",
"2374","佳能","1.95","108","-","0.76","109/3",
"2375","凱美","1.69","109","28.28","2.11","109/4",
"2376","技嘉","2.27","108","14.07","2.25","109/4",
"2377","微星","3.57","109","18.15","4.06","109/4",
"2379","瑞昱","2.19","108","29.15","8.70","109/4",
"2380","虹光","0.00","108","-","1.56","109/4",
"2382","廣達","3.74","108","15.07","2.64","109/4",
"2383","台光電","4.12","109","15.34","3.38","109/4",
"2385","群光","5.37","109","13.16","2.59","109/4",
"2387","精元","3.04","109","10.35","1.70","109/4",
"2388","威盛","0.00","108","5.46","2.77","109/4",
"2390","云辰","0.00","108","30.69","1.66","109/3",
"2392","正崴","5.17","109","11.08","1.03","109/3",
"2393","億光","4.88","109","16.52","1.16","109/4",
"2395","研華","1.97","109","38.29","8.07","109/4",
"2397","友通","7.39","108","19.12","2.60","109/4",
"2399","映泰","1.43","109","34.09","2.36","109/3",
"2401","凌陽","1.72","109","56.18","2.16","109/4",
"2402","毅嘉","2.62","109","47.63","0.99","109/4",
"2404","漢唐","6.90","109","11.65","4.70","109/4",
"2405","浩鑫","0.00","108","81.18","1.39","109/4",
"2406","國碩","0.00","108","-","2.50","109/3",
"2408","南亞科","1.41","109","36.88","1.84","109/4",
"2409","友達","1.40","109","59.72","1.12","109/4",
"2412","中華電","3.87","109","25.87","2.29","109/4",
"2413","環科","0.00","108","-","2.26","109/4",
"2414","精技","6.38","109","12.53","1.64","109/4",
"2415","錩新","1.21","109","62.65","2.37","109/4",
"2417","圓剛","4.27","109","7.32","2.18","109/4",
"2419","仲琦","4.12","109","27.87","1.58","109/4",
"2420","新巨","6.82","109","12.90","1.78","109/4",
"2421","建準","4.55","109","15.55","2.88","109/4",
"2423","固緯","4.94","109","17.74","1.51","109/4",
"2424","隴華","0.00","108","-","3.76","109/3",
"2425","承啟","0.78","108","45.83","2.27","109/3",
"2426","鼎元","2.60","109","28.61","2.22","109/4",
"2427","三商電","2.60","109","18.33","0.96","109/4",
"2428","興勤","2.85","109","17.85","3.38","109/4",
"2429","銘旺科","0.00","108","-","2.86","109/4",
"2430","燦坤","6.10","109","13.73","0.88","109/4",
"2431","聯昌","0.00","108","26.06","0.99","109/3",
"2433","互盛電","6.68","109","13.72","2.00","109/3",
"2434","統懋","0.00","108","-","2.58","109/4",
"2436","偉詮電","2.93","109","28.14","3.02","109/4",
"2438","翔耀","0.00","108","160.71","1.15","109/4",
"2439","美律","3.84","109","21.32","2.39","109/4",
"2440","太空梭","0.00","108","9.46","1.65","109/4",
"2441","超豐","4.36","109","15.19","2.25","109/4",
"2442","新美齊","2.76","109","16.95","0.78","109/4",
"2443","億麗","0.00","108","-","0.57","109/3",
"2444","兆勁","0.00","108","-","1.82","109/4",
"2449","京元電子","4.81","109","13.99","1.73","109/4",
"2450","神腦","4.39","109","20.21","1.49","109/4",
"2451","創見","4.67","109","23.41","1.50","109/4",
"2453","凌群","6.19","109","14.26","1.29","109/4",
"2454","聯發科","1.08","108","47.27","4.54","109/3",
"2455","全新","2.22","109","40.45","7.43","109/4",
"2456","奇力新","1.83","109","18.44","1.10","109/4",
"2457","飛宏","0.00","108","-","2.08","109/4",
"2458","義隆","4.52","109","17.86","6.41","109/4",
"2459","敦吉","6.12","109","12.68","1.26","109/4",
"2460","建通","0.00","108","-","2.97","109/4",
"2461","光群雷","4.60","109","21.72","1.23","109/4",
"2462","良得電","2.72","109","33.85","1.61","109/4",
"2464","盟立","4.15","109","18.40","2.30","109/4",
"2465","麗臺","0.00","108","79.20","6.69","109/4",
"2466","冠西電","0.00","108","111.50","3.19","109/3",
"2467","志聖","5.48","109","16.77","2.93","109/4",
"2468","華經","2.93","109","17.73","0.84","109/3",
"2471","資通","5.10","109","14.20","1.81","109/4",
"2472","立隆電","3.93","109","16.36","2.22","109/4",
"2474","可成","4.72","108","7.64","1.02","109/4",
"2476","鉅祥","3.64","109","21.29","1.29","109/4",
"2477","美隆電","4.57","109","34.51","2.06","109/4",
"2478","大毅","2.23","108","17.45","2.00","109/4",
"2480","敦陽科","6.05","109","15.19","2.67","109/4",
"2481","強茂","2.78","109","20.00","2.53","109/4",
"2482","連宇","0.00","108","-","0.93","109/4",
"2483","百容","3.35","109","27.50","0.96","109/4",
"2484","希華","4.06","109","24.17","1.25","109/4",
"2485","兆赫","0.00","108","-","0.91","109/4",
"2486","一詮","0.00","108","-","2.10","109/4",
"2488","漢平","4.49","109","14.71","1.30","109/4",
"2489","瑞軒","0.00","108","26.40","1.18","109/4",
"2491","吉祥全","1.75","109","4.38","1.88","109/3",
"2492","華新科","2.17","108","18.57","3.19","109/4",
"2493","揚博","6.47","109","14.31","1.88","109/4",
"2495","普安","2.23","109","-","0.93","109/4",
"2496","卓越","7.58","109","17.95","1.38","109/4",
"2497","怡利電","0.00","108","-","3.33","109/4",
"2498","宏達電","0.00","108","-","0.81","109/4",
"2501","國建","5.08","108","15.39","0.93","109/4",
"2504","國產","5.61","109","12.74","1.56","109/4",
"2505","國揚","0.39","108","2.95","1.58","109/4",
"2506","太設","3.90","109","-","0.54","109/4",
"2509","全坤建","3.66","108","18.54","0.94","109/4",
"2511","太子","3.60","109","22.65","0.74","109/4",
"2514","龍邦","0.00","108","4.98","0.59","109/4",
"2515","中工","2.57","109","22.40","0.68","109/4",
"2516","新建","0.00","108","-","0.65","109/4",
"2520","冠德","8.51","109","9.91","1.51","109/3",
"2524","京城","0.00","108","7.79","0.94","109/3",
"2527","宏璟","6.56","109","17.08","0.82","109/3",
"2528","皇普","0.00","108","-","2.09","109/4",
"2530","華建","0.70","108","-","1.20","109/4",
"2534","宏盛","5.10","109","15.19","0.71","109/4",
"2535","達欣工","7.87","109","8.81","1.26","109/4",
"2536","宏普","5.32","108","12.26","0.62","109/4",
"2537","聯上發","4.02","109","16.86","0.74","109/4",
"2538","基泰","5.00","108","-","0.69","109/3",
"2539","櫻花建","4.78","109","22.76","2.41","109/4",
"2540","愛山林","1.47","109","15.21","2.03","109/3",
"2542","興富發","4.60","109","20.69","1.71","109/4",
"2543","皇昌","0.00","108","38.56","0.83","109/3",
"2545","皇翔","10.49","109","8.05","1.23","109/4",
"2546","根基","7.19","109","11.08","1.81","109/3",
"2547","日勝生","5.37","109","16.74","0.89","109/4",
"2548","華固","7.54","109","9.23","1.48","109/4",
"2597","潤弘","9.44","109","14.44","3.43","109/4",
"2601","益航","12.04","108","-","0.87","109/3",
"2603","長榮","5.71","109","8.81","2.28","109/4",
"2605","新興","2.36","109","88.13","0.85","109/4",
"2606","裕民","3.03","109","38.03","1.44","109/4",
"2607","榮運","1.63","109","28.67","0.84","109/4",
"2608","嘉里大榮","3.31","108","13.64","1.99","109/4",
"2609","陽明","0.00","108","9.37","3.14","109/4",
"2610","華航","0.00","108","506.67","1.43","109/4",
"2611","志信","0.00","108","-","1.04","109/3",
"2612","中航","2.25","108","21.32","0.72","109/4",
"2613","中櫃","0.97","109","89.35","0.91","109/4",
"2614","東森","4.68","109","18.19","1.52","109/4",
"2615","萬海","3.66","109","10.71","2.76","109/4",
"2616","山隆","6.37","109","12.66","0.92","109/4",
"2617","台航","3.31","108","19.48","0.93","109/4",
"2618","長榮航","1.61","108","-","1.06","109/4",
"2630","亞航","1.65","109","54.84","1.41","109/4",
"2633","台灣高鐵","3.39","109","29.81","2.49","109/4",
"2634","漢翔","0.69","109","69.17","1.96","109/4",
"2636","台驊投控","5.85","109","11.81","2.04","109/4",
"2637","慧洋-KY","3.03","109","219.67","0.93","109/4",
"2642","宅配通","5.19","109","15.84","1.67","109/4",
"2701","萬企","2.08","109","30.77","0.72","109/4",
"2702","華園","0.00","108","-","2.04","109/4",
"2704","國賓","0.00","108","2,930.00","0.96","109/4",
"2705","六福","0.00","108","-","3.03","109/4",
"2706","第一店","1.07","109","43.75","0.78","109/4",
"2707","晶華","2.82","109","30.02","5.95","109/4",
"2712","遠雄來","1.83","109","59.00","3.19","109/3",
"2722","夏都","1.66","109","38.04","1.82","109/4",
"2723","美食-KY","2.23","109","38.83","3.15","109/3",
"2727","王品","2.40","109","39.19","3.91","109/4",
"2731","雄獅","2.05","108","-","4.47","109/4",
"2739","寒舍","3.83","108","-","1.93","109/4",
"2748","雲品","2.27","109","30.59","2.52","109/4",
"2801","彰銀","4.57","108","25.74","1.10","109/4",
"2809","京城銀","4.58","109","8.00","0.94","109/4",
"2812","台中銀","6.00","109","11.86","0.83","109/4",
"2816","旺旺保","3.87","109","6.58","0.79","109/4",
"2820","華票","5.58","109","13.22","0.82","109/4",
"2823","中壽","4.67","108","7.81","0.68","109/4",
"2832","台產","4.92","109","11.76","0.84","109/4",
"2834","臺企銀","7.00","108","15.87","0.76","109/4",
"2836","高雄銀","4.59","109","14.72","0.70","109/4",
"2838","聯邦銀","5.78","109","10.69","0.62","109/3",
"2841","台開","0.00","108","-","0.29","109/3",
"2845","遠東銀","4.84","109","12.65","0.77","109/3",
"2849","安泰銀","4.83","108","13.60","0.86","109/4",
"2850","新產","4.94","109","7.66","0.94","109/4",
"2851","中再保","5.46","109","9.26","1.05","109/4",
"2852","第一保","2.63","109","26.08","0.59","109/4",
"2855","統一證","8.26","109","8.91","1.09","109/4",
"2867","三商壽","0.00","108","15.16","0.52","109/4",
"2880","華南金","6.02","108","30.49","1.29","109/3",
"2881","富邦金","3.52","108","8.94","0.99","109/3",
"2882","國泰金","4.17","108","9.47","0.79","109/4",
"2883","開發金","5.77","108","12.24","0.76","109/4",
"2884","玉山金","4.66","109","18.32","1.81","109/4",
"2885","元大金","5.30","109","11.38","1.09","109/4",
"2886","兆豐金","5.35","108","17.28","1.32","109/4",
"2887","台新金","5.95","108","10.85","0.85","109/4",
"2888","新光金","4.42","109","8.39","0.50","109/4",
"2889","國票金","6.08","109","14.56","1.24","109/4",
"2890","永豐金","5.51","109","11.65","0.92","109/4",
"2891","中信金","4.55","108","10.28","1.09","109/4",
"2892","第一金","6.07","108","16.98","1.29","109/4",
"2897","王道銀行","2.88","109","18.29","0.59","109/4",
"2901","欣欣","0.54","109","175.00","2.82","109/4",
"2903","遠百","4.69","109","17.90","1.09","109/3",
"2904","匯僑","6.91","109","12.53","1.92","109/4",
"2905","三商","9.39","108","11.97","1.00","109/3",
"2906","高林","1.81","109","110.67","1.19","109/4",
"2908","特力","4.07","109","16.44","1.96","109/4",
"2910","統領","1.56","109","49.15","2.37","109/4",
"2911","麗嬰房","0.00","108","-","0.62","109/4",
"2912","統一超","3.21","109","28.43","8.08","109/4",
"2913","農林","0.00","108","-","0.88","109/4",
"2915","潤泰全","6.38","109","5.32","0.40","109/4",
"2923","鼎固-KY","3.53","109","50.00","1.09","109/4",
"2929","淘帝-KY","17.10","108","-","0.22","109/3",
"2936","客思達-KY","0.00","108","7.85","0.73","109/4",
"2939","凱羿-KY","5.75","109","-","1.62","109/3",
"3002","歐格","0.81","109","21.75","1.02","109/4",
"3003","健和興","1.99","109","26.10","2.00","109/3",
"3004","豐達科","0.77","109","57.11","1.83","109/4",
"3005","神基","5.37","109","15.29","2.42","109/4",
"3006","晶豪科","1.97","109","25.63","3.34","109/4",
"3008","大立光","2.81","109","17.82","3.11","109/4",
"3010","華立","4.89","109","10.95","1.58","109/3",
